Donnie Keshawarz,{'The Sopranos': 'Muhammed'}
Randy N. Barbee,{'The Sopranos': 'Judge Whitney R. Runions'}
Nick Annunziata,{'The Sopranos': 'Eddie Pietro'}
Robert LuPone,{'The Sopranos': 'Dr. Bruce Cusamano'}
John Heard,{'The Sopranos': 'Det. Vin Makazian'}
Lillo Brancato,{'The Sopranos': 'Matt Bevilaqua'}
Paul Herman,"{'The Sopranos': 'Beansie Gaeta', 'Goodfellas': 'Dealer'}"
Dania Ramirez,{'The Sopranos': 'Blanca Selgado'}
Rae Allen,{'The Sopranos': 'Aunt Quintina Blundetto'}
Joseph Siravo,{'The Sopranos': 'Johnny Boy Soprano'}
Frank John Hughes,{'The Sopranos': 'Walden Belfiore'}
Joe Perrino,{'The Sopranos': 'Jason Gervasi'}
Patty McCormack,{'The Sopranos': 'Liz La Cerva'}
Louis Gross,{'The Sopranos': 'Perry Annunziata'}
Frank Borrelli,"{'The Sopranos': 'Vito Spatafore, Jr.'}"
Paulina Gerzon,{'The Sopranos': 'Francesca Spatafore'}
Bruce MacVittie,{'The Sopranos': 'Danny Scalercio'}
Nicole Burdette,"{'The Sopranos': 'Barbara Giglione', 'Goodfellas': ""Carbone's Girlfriend""}"
Lewis J. Stadlen,{'The Sopranos': 'Dr. Freid'}
Saundra Santiago,{'The Sopranos': 'Jean Cusamano'}
Allison Dunbar,{'The Sopranos': 'Nicole Lupertazzi'}
Raymond Franza,{'The Sopranos': 'Donny K.'}
Julie Ross,{'The Sopranos': 'Court Clerk'}
Avery Elaine Pulcher,{'The Sopranos': 'Domenica Baccalieri'}
Emily Ruth Pulcher,{'The Sopranos': 'Domenica Baccalieri'}
Kimberly Laughlin,{'The Sopranos': 'Domenica Baccalieri'}
Brianna Laughlin,{'The Sopranos': 'Domenica Baccalieri'}
Greg D'Agostino,{'The Sopranos': 'Wiseguy'}
Julianna Margulies,{'The Sopranos': 'Julianna Skiff'}
Robert Loggia,{'The Sopranos': 'Feech La Manna'}
Chris Tardio,{'The Sopranos': 'Sean Gismonte'}
Andy Davoli,{'The Sopranos': 'Dino Zerilli'}
